timestamp,thread_label,utilization,frequency
2023-03-25 15:52:41.416596603 +05:30,cpu4,84.31373,3802
2023-03-25 15:52:41.416636940 +05:30,cpu5,79.411766,3851
2023-03-25 15:52:41.416677984 +05:30,cpu6,89.32039,3851
2023-03-25 15:52:41.416717785 +05:30,cpu7,82.52427,3851
2023-03-25 15:52:42.448369382 +05:30,cpu0,87.2549,3748
2023-03-25 15:52:42.448465453 +05:30,cpu1,80.769226,3800
2023-03-25 15:52:42.448511991 +05:30,cpu2,87.37864,3788
2023-03-25 15:52:42.448556001 +05:30,cpu3,86.40777,3805
2023-03-25 15:52:42.448641649 +05:30,cpu4,86.40777,3810
2023-03-25 15:52:42.448741169 +05:30,cpu5,91.34615,3814
2023-03-25 15:52:42.448836273 +05:30,cpu6,85.29411,3772
2023-03-25 15:52:42.448932629 +05:30,cpu7,88.34952,3731
2023-03-25 15:52:43.480364185 +05:30,cpu0,86.40777,3740
2023-03-25 15:52:43.480462063 +05:30,cpu1,84.31373,3734
2023-03-25 15:52:43.480493366 +05:30,cpu2,86.40777,3768
2023-03-25 15:52:43.480521129 +05:30,cpu3,83.49515,3768
2023-03-25 15:52:43.480549444 +05:30,cpu4,84.46602,3770
2023-03-25 15:52:43.480578669 +05:30,cpu5,81.18812,3782
2023-03-25 15:52:43.480606868 +05:30,cpu6,89.32039,3782
2023-03-25 15:52:43.480637140 +05:30,cpu7,88.34952,3768
2023-03-25 15:52:44.512358482 +05:30,cpu0,83.49515,3705
2023-03-25 15:52:44.512448408 +05:30,cpu1,85.71429,3700
2023-03-25 15:52:44.512492401 +05:30,cpu2,82.52427,3705
2023-03-25 15:52:44.512534543 +05:30,cpu3,87.37864,3701
2023-03-25 15:52:44.512576004 +05:30,cpu4,83.49515,3705
2023-03-25 15:52:44.512616687 +05:30,cpu5,84.61539,3705
2023-03-25 15:52:44.512657265 +05:30,cpu6,87.61905,3700
2023-03-25 15:52:44.512697631 +05:30,cpu7,88.34952,3705
2023-03-25 15:52:45.540486967 +05:30,cpu0,88.46153,3843
2023-03-25 15:52:45.540573634 +05:30,cpu1,86.53847,3843
2023-03-25 15:52:45.540616116 +05:30,cpu2,86.40777,3449
2023-03-25 15:52:45.540656174 +05:30,cpu3,88.34952,3849
2023-03-25 15:52:45.540696344 +05:30,cpu4,84.46602,3849
2023-03-25 15:52:45.540736005 +05:30,cpu5,91.17647,3835
2023-03-25 15:52:45.540775679 +05:30,cpu6,90.29126,3832
2023-03-25 15:52:45.540814684 +05:30,cpu7,86.40777,3843
2023-03-25 15:52:46.572387157 +05:30,cpu0,88.34952,3800
2023-03-25 15:52:46.572479312 +05:30,cpu1,82.35294,3800
2023-03-25 15:52:46.572530747 +05:30,cpu2,87.37864,3800
2023-03-25 15:52:46.572572244 +05:30,cpu3,88.34952,3788
2023-03-25 15:52:46.572616971 +05:30,cpu4,87.2549,3799
2023-03-25 15:52:46.572700871 +05:30,cpu5,86.27451,3800
2023-03-25 15:52:46.572798487 +05:30,cpu6,88.2353,3800
2023-03-25 15:52:46.572895790 +05:30,cpu7,90.29126,3784
2023-03-25 15:52:47.604387542 +05:30,cpu0,85.43689,3732
2023-03-25 15:52:47.604452788 +05:30,cpu1,86.53847,3746
2023-03-25 15:52:47.604482678 +05:30,cpu2,84.61539,3743
2023-03-25 15:52:47.604509471 +05:30,cpu3,88.34952,3746
2023-03-25 15:52:47.604535759 +05:30,cpu4,84.31373,3743
2023-03-25 15:52:47.604562710 +05:30,cpu5,84.7619,3723
2023-03-25 15:52:47.604589954 +05:30,cpu6,89.42308,3756
2023-03-25 15:52:47.604616240 +05:30,cpu7,81.5534,3743
2023-03-25 15:52:48.636347066 +05:30,cpu0,86.40777,3824
2023-03-25 15:52:48.636437490 +05:30,cpu1,89.42308,3800
2023-03-25 15:52:48.636482199 +05:30,cpu2,87.37864,3826
2023-03-25 15:52:48.636523274 +05:30,cpu3,89.32039,3827
2023-03-25 15:52:48.636562706 +05:30,cpu4,81.5534,3816
2023-03-25 15:52:48.636606341 +05:30,cpu5,90.196075,3827
2023-03-25 15:52:48.636645544 +05:30,cpu6,89.32039,3826
2023-03-25 15:52:48.636692638 +05:30,cpu7,87.37864,3826
2023-03-25 15:52:49.668347063 +05:30,cpu0,86.53847,3714
2023-03-25 15:52:49.668407027 +05:30,cpu1,82.52427,3750
2023-03-25 15:52:49.668438333 +05:30,cpu2,85.43689,3768
2023-03-25 15:52:49.668466390 +05:30,cpu3,86.40777,3761
2023-03-25 15:52:49.668495031 +05:30,cpu4,88.34952,3761
2023-03-25 15:52:49.668527926 +05:30,cpu5,86.40777,3761
2023-03-25 15:52:49.668555354 +05:30,cpu6,90.29126,3738
2023-03-25 15:52:49.668582936 +05:30,cpu7,88.46153,3761
2023-03-25 15:52:50.700372112 +05:30,cpu0,91.26214,3800
2023-03-25 15:52:50.700429827 +05:30,cpu1,85.43689,3800
2023-03-25 15:52:50.700459671 +05:30,cpu2,90.196075,3800
2023-03-25 15:52:50.700488562 +05:30,cpu3,85.29411,3800
2023-03-25 15:52:50.700516916 +05:30,cpu4,85.57692,3800
2023-03-25 15:52:50.700545218 +05:30,cpu5,85.43689,3800
2023-03-25 15:52:50.700573526 +05:30,cpu6,90.29126,3799
2023-03-25 15:52:50.700601609 +05:30,cpu7,83.49515,3799
2023-03-25 15:52:51.728350436 +05:30,cpu0,85.29411,3783
2023-03-25 15:52:51.728420070 +05:30,cpu1,87.37864,3699
2023-03-25 15:52:51.728472525 +05:30,cpu2,84.46602,3700
2023-03-25 15:52:51.728517756 +05:30,cpu3,89.32039,3700
2023-03-25 15:52:51.728561344 +05:30,cpu4,82.52427,3700
2023-03-25 15:52:51.728604882 +05:30,cpu5,89.32039,3700
2023-03-25 15:52:51.728648802 +05:30,cpu6,85.29411,3700
2023-03-25 15:52:51.728689907 +05:30,cpu7,91.17647,3700
2023-03-25 15:52:52.756450874 +05:30,cpu0,89.42308,3731
2023-03-25 15:52:52.756510024 +05:30,cpu1,80.58252,3731
2023-03-25 15:52:52.756540198 +05:30,cpu2,87.37864,3683
2023-03-25 15:52:52.756591921 +05:30,cpu3,85.29411,3732
2023-03-25 15:52:52.756636209 +05:30,cpu4,87.37864,3731
2023-03-25 15:52:52.756672637 +05:30,cpu5,87.2549,3731
2023-03-25 15:52:52.756697212 +05:30,cpu6,86.53847,3706
2023-03-25 15:52:52.756720460 +05:30,cpu7,90.38461,3731
2023-03-25 15:52:53.784345128 +05:30,cpu0,89.21568,3716
2023-03-25 15:52:53.784417724 +05:30,cpu1,88.34952,3799
